SESSION_ID,PARTNER,RISK_SCORE,RISK_LEVEL,FINDINGS,CONFIDENCE,APPROVED_BY,APPROVED_AT,CREATED_AT
test-phase7-001,30100001,78,HIGH,"[{""finding"":""DTI ratio 5.80% approaching APRA 6.00% limit with minimal 0.20% buffer; escalation trigger imminent."",""evidenceSource"":""Agent Pattern Analysis"",""confidence"":0.95},{""finding"":""Multiple overdue payments (81 and 50 days) on HOME_LOAN and INV_PROP indicate material payment stress."",""evidenceSource"":""Agent Pattern Analysis"",""confidence"":0.9},{""finding"":""APS221 large exposure threshold breached at 193.6% of limit; connected group exposure AUD 9.68M requires Board notification."",""evidenceSource"":""Agent Relationship Analysis"",""confidence"":0.92},{""finding"":""Zero collateral recorded against AUD 2.83M debt portfolio and three open payments lacking booking dates create documentation gaps."",""evidenceSource"":""Agent Pattern Analysis"",""confidence"":0.85}]",0.88,risk_officer,2026-05-25 00:07:00,2026-05-25 00:06:59
ui-1779668242149,B-4471,62,HIGH,"[{""finding"":""Critical underwriting metric (DTI ratio) missing from customer assessment file"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.85},{""finding"":""No loan repayment history recorded despite active customer account status"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.85},{""finding"":""Absence of collateral documentation creates credit assessment gap"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.8},{""finding"":""AI audit trail incomplete - findings lack specific TRBK table record citations"",""evidenceSource"":""Regulatory Compliance Review"",""confidence"":0.92}]",0.78,,,2026-05-25 00:17:52
ui-1779668679334,30100001,78,HIGH,"[{""finding"":""DTI ratio 5.80% approaching APRA 6.0% limit; payment delinquency (50-81 days overdue) signals deteriorating serviceability."",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.9},{""finding"":""Group exposure $9.68M at 193.6% of APS221 large exposure limit—material breach requiring immediate Board notification."",""evidenceSource"":""Relationship Agent"",""confidence"":0.92},{""finding"":""No collateral recorded for $2.83M debt across three loans; recent term deposit loan (Jan 2025) approved during delinquency period."",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.85},{""finding"":""Six statistical anomalies flagged with conflicting signals; off-balance-sheet exposure possible—forward position deteriorating."",""evidenceSource"":""Trajectory Agent"",""confidence"":0.78}]",0.88,risk_officer,2026-05-25 00:29:21,2026-05-25 00:29:20
ui-1779670302768,30100001,45,MEDIUM,"[{""finding"":""Risk analysis for 30100001 completed via pattern agent"",""evidenceSource"":""pattern-agent"",""confidence"":0.85}]",0.50,risk_officer,2026-05-25 00:52:41,2026-05-25 00:52:40
ui-1779675910199,30100001,45,MEDIUM,"[{""finding"":""Risk analysis for 30100001 completed via pattern agent"",""evidenceSource"":""pattern-agent"",""confidence"":0.85}]",0.50,risk_officer,2026-05-25 02:26:30,2026-05-25 02:26:17
ui-1779709504048,30100001,72,HIGH,"[{""finding"":""Payment P1 extreme outlier: 81 days overdue (z=6.51), isolation score 1.000 indicates severe payment default stress."",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern_analysis"",""confidence"":0.9},{""finding"":""DTI ratio 5.80% within 3.4% of APRA 6.00% limit; dual overdue payments signal deteriorating debt serviceability capacity."",""standard"":""CPS230"",""severity"":""HIGH"",""evidenceSource"":""pattern_analysis"",""confidence"":0.85},{""finding"":""Group exposure $9.68M at 51.47% of large exposure limit; connected group structure (7 nodes, 9 edges) approaching 75% notification threshold."",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""relationship_analysis"",""confidence"":0.78},{""finding"":""Nine statistical anomalies flagged without recorded regulatory breach; potential off-balance-sheet exposure or systems detection gap."",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""trajectory_analysis"",""confidence"":0.72}]",0.82,risk_officer,2026-05-25 11:52:09,2026-05-25 11:51:53
ui-1779709956070,30100001,78,CRITICAL,"[{""finding"":""Connected group exposure 129.1% of APS221 limit — material breach requiring immediate APRA notification"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""relationship"",""confidence"":0.95},{""finding"":""Payment P1 severely overdue 81 days (z=6.51) — isolation anomaly score 1.000 indicates outlier default risk"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern"",""confidence"":0.88},{""finding"":""DTI ratio 5.80% within 0.20% of APRA 6.00% limit — minimal buffer to regulatory breach threshold"",""standard"":""CPS230"",""severity"":""MEDIUM"",""evidenceSource"":""pattern"",""confidence"":0.9},{""finding"":""Eight statistical anomalies detected but no regulatory breach recorded — suggests off-balance-sheet or unidentified exposures"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""trajectory"",""confidence"":0.82}]",0.92,risk_officer,2026-05-25 11:53:48,2026-05-25 11:53:29
ui-1779798974324,30100006,72,HIGH,"[{""finding"":""DTI ratio 1.50 significantly exceeds APRA prudential limit of 6.00, indicating severe debt serviceability risk"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.85},{""finding"":""Annual income AUD 30,000 insufficient to service AUD 45,000 debt obligations; repayment capacity severely constrained"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.85},{""finding"":""Payment records reference loan SYN-L-002 and account SYN-CA-002 not registered in customer master file; data integrity concern"",""standard"":""CPS230"",""severity"":""HIGH"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.82},{""finding"":""Active loan L-007 absent from recent payment records despite registration; loan account reconciliation required"",""standard"":""CPS230"",""severity"":""MEDIUM"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.78}]",0.78,,,2026-05-26 12:36:46
ui-1779800263469,30100003,92,CRITICAL,"[{""finding"":""Connected group exposure at 129.1% of APS221 large exposure limit constitutes material breach requiring immediate Board notification and APRA escalation within 3 business days."",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""relationship analysis"",""confidence"":0.95},{""finding"":""Borrower DTI ratio 7.2% exceeds APRA February 2026 limit of 6.0%; breach identified but reporting status to APRA unclear, potential compliance deficiency."",""standard"":""DTI_NOTICE"",""severity"":""HIGH"",""evidenceSource"":""pattern analysis"",""confidence"":0.9},{""finding"":""AUD 2.1M business loan carries zero collateral backing with missing sector code and income verification data; unmitigated credit risk with deteriorating trajectory."",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern analysis"",""confidence"":0.85},{""finding"":""No recent payments recorded on active business loan since August 2025 despite high DTI ratio; payment performance deterioration signals elevated default risk."",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""pattern analysis"",""confidence"":0.8}]",0.88,risk_officer,2026-05-26 12:59:10,2026-05-26 12:59:10
ui-1779800485351,30910005,35,MEDIUM,"[{""finding"":""Missing debt-to-income ratio prevents assessment of debt service capacity"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.85},{""finding"":""No loans on record for established customer indicates unusual account profile"",""standard"":""CPS230"",""severity"":""MEDIUM"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.85},{""finding"":""Zero collateral significantly limits borrowing capacity and risk mitigation"",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.85},{""finding"":""No recent payment activity recorded - account status and engagement unclear"",""standard"":""CPS230"",""severity"":""MEDIUM"",""evidenceSource"":""Pattern Analysis Agent"",""confidence"":0.85}]",0.72,,,2026-05-26 13:01:46
ui-1779801108030,30100003,92,CRITICAL,"[{""finding"":""Connected group exposure 129.07% of APS221 limit; immediate Board notification overdue"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""relationship analysis"",""confidence"":0.95},{""finding"":""DTI ratio 7.20% exceeds 6.00% APRA limit; breach reporting obligation triggered"",""standard"":""DTI_NOTICE"",""severity"":""HIGH"",""evidenceSource"":""pattern detection"",""confidence"":0.92},{""finding"":""AUD 2.1M unsecured business loan with zero collateral and deteriorating forward position"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern detection"",""confidence"":0.85},{""finding"":""No payment history since August 2025 loan origination; income verification null and unverifiable"",""standard"":""CPS230"",""severity"":""HIGH"",""evidenceSource"":""pattern detection"",""confidence"":0.82}]",0.88,risk_officer,2026-05-26 13:12:52,2026-05-26 13:12:52
ui-1779801304643,30910005,42,MEDIUM,"[{""finding"":""Missing DTI ratio prevents assessment of debt burden and repayment capacity"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""PatternAgent"",""confidence"":0.85},{""finding"":""No loan history recorded for established customer profile - unusual pattern"",""standard"":""CPS230"",""severity"":""MEDIUM"",""evidenceSource"":""PatternAgent"",""confidence"":0.85},{""finding"":""Zero collateral despite apparent credit profile indicates potential undisclosed risk"",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""PatternAgent"",""confidence"":0.85},{""finding"":""No recent payment activity prevents verification of payment behavior reliability"",""standard"":""CPS230"",""severity"":""MEDIUM"",""evidenceSource"":""PatternAgent"",""confidence"":0.85}]",0.68,,,2026-05-26 13:15:24
ui-1779801753937,30100003,92,CRITICAL,"[{""finding"":""Connected group exposure 129.07% of APS 221 limit - material breach requiring immediate Board notification"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""relationship_analysis"",""confidence"":0.95},{""finding"":""DTI ratio 7.20% exceeds APRA 6.00% limit - regulatory breach with unreported status"",""standard"":""DTI_NOTICE"",""severity"":""HIGH"",""evidenceSource"":""pattern_detection"",""confidence"":0.92},{""finding"":""AUD 2.1M business loan unsecured with zero collateral backing - elevated credit risk"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern_detection"",""confidence"":0.85},{""finding"":""No payment activity recorded on active loan - potential forbearance or default indicator"",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""trajectory_analysis"",""confidence"":0.78}]",0.88,risk_officer,2026-05-26 13:33:03,2026-05-26 13:33:03
ui-1779803239351,30100003,92,CRITICAL,"[{""finding"":""APS 221 breach: Group exposure 129.1% of large exposure limit requires immediate APRA notification"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.92},{""finding"":""DTI ratio 7.20% exceeds APRA 6.00% limit as of February 2026 activation date"",""standard"":""DTI_NOTICE"",""severity"":""HIGH"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.9},{""finding"":""AUD 2.1M business loan entirely unsecured with zero collateral backing and unverified income source"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.85},{""finding"":""No recent payments recorded on active loan since August 2025 with deteriorating forward position"",""standard"":""CPS230"",""severity"":""HIGH"",""evidenceSource"":""Agent trajectory analysis"",""confidence"":0.82}]",0.88,risk_officer,2026-05-26 13:48:13,2026-05-26 13:48:13
ui-1779803904991,30100001,78,CRITICAL,"[{""finding"":""Connected group exposure 129.07% of APS221 limit—material breach requiring immediate APRA notification."",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Agent relationship analysis"",""confidence"":0.95},{""finding"":""Overdue loan payments 81 and 50 days with OPEN status indicates credit deterioration and repayment stress."",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.88},{""finding"":""DTI ratio 5.80% at 96.7% of APRA 6.00% limit; zero collateral against AUD 2.83M debt exposure."",""standard"":""CPS230"",""severity"":""HIGH"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.9},{""finding"":""AUD 490K annual income undocumented; expiry date absent. Term deposit AUD 250K misclassified as loan."",""standard"":""CPS230"",""severity"":""MEDIUM"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.85}]",0.92,risk_officer,2026-05-26 13:59:16,2026-05-26 13:59:16
ui-1779804342832,30100001,78,CRITICAL,"[{""finding"":""Connected group exposure 129.1% of APS221 limit—material breach requiring immediate APRA notification"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern_analysis"",""confidence"":0.95},{""finding"":""DTI ratio 5.80 exceeds APRA prudential threshold of 6.00 with minimal 0.20 buffer capacity"",""standard"":""CPS230"",""severity"":""HIGH"",""evidenceSource"":""trajectory_analysis"",""confidence"":0.88},{""finding"":""Multiple loans 50-81 days overdue with zero collateral recorded against AUD 2.83M debt exposure"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern_analysis"",""confidence"":0.9},{""finding"":""Term deposit classified as debt obligation—accounting anomaly suggests off-balance-sheet exposure masking true leverage"",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""pattern_analysis"",""confidence"":0.83}]",0.92,risk_officer,2026-05-26 14:06:43,2026-05-26 14:06:43
ui-1779804420025,30100003,92,CRITICAL,"[{""finding"":""Connected group exposure 129.07% of APS221 limit triggers mandatory Board notification within 3 business days"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""relationship analysis"",""confidence"":0.95},{""finding"":""Customer DTI ratio 7.20% exceeds APRA 6.00% limit; February 2026 activation requires APRA notification within 5 days"",""standard"":""DTI_NOTICE"",""severity"":""HIGH"",""evidenceSource"":""pattern analysis"",""confidence"":0.92},{""finding"":""AUD 2.1M business loan unsecured with zero collateral and sector code null indicating incomplete loan documentation"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern analysis"",""confidence"":0.88},{""finding"":""No recent payments on active loan since August 2025 with deteriorating forward DTI position indicates credit deterioration risk"",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""trajectory analysis"",""confidence"":0.85}]",0.87,risk_officer,2026-05-26 14:08:12,2026-05-26 14:08:12
ui-1779856919825,30100001,50,MEDIUM,"[{""finding"":""Risk analysis for 30100001 completed via pattern agent"",""evidenceSource"":""pattern-agent"",""confidence"":1}]",0.50,,,2026-05-27 04:43:19
ui-1779857341972,30100001,50,MEDIUM,"[{""finding"":""Risk analysis for 30100001 completed via pattern agent"",""evidenceSource"":""pattern-agent"",""confidence"":1}]",0.50,,,2026-05-27 04:49:37
ui-1779857439561,30100001,50,MEDIUM,"[{""finding"":""Risk analysis for 30100001 completed via pattern agent"",""evidenceSource"":""pattern-agent"",""confidence"":1}]",0.50,,,2026-05-27 04:51:11